Description,ncRNA Name,Disease,PMID,Labels
Down-regulation of miR-1/miR-133 contributes to re-expression of pacemaker channel genes HCN2 and HCN4 in hypertrophic heart.,miR-1//miR-133,hypertrophic heart,18458081,1
Truncation in CCND1 mRNA alters miR-16-1 regulation in mantle cell lymphoma.,CCND1//miR-16-1,mantle cell lymphoma,18483394,1
"we have shown that miR-203 can regulate DeltaNp63 levels upon genotoxic damage in head and neck squamous cell carcinoma cells, thus controlling cell survival.",miR-203,head and neck squamous cell carcinoma,18483491,1
RT-PCR analysis indicated that UCA1 is an embryonic development and bladder cancer-associated RNA.,UCA1,bladder cancer,18501714,1
A functional screen identifies miR-34a as a candidate neuroblastoma tumor suppressor gene.,miR-34a,neuroblastoma tumor,18505919,1
"Our results suggest that miR-34b/c and BTG4 are novel tumor suppressors in CRC and that the miR-34b/c CpG island, which bidirectionally regulates miR-34b/c and BTG4, is a frequent target of epigenetic silencing in CRC.",miR-34b//miR-34c//BTG4,CRC,18519671,1
Deregulated expression of miR-106a predicts survival in human colon cancer patients.,miR-106a,colon cancer,18521848,1
"Microinjecting fragments of either the coding region or the related microRNA miR-1 led to high levels of expression of homologous RNA, resulting in an epigenetic defect, cardiac hypertrophy, whose efficient hereditary transmission correlated with the presence of miR-1 in the sperm nucleus.",miR-1,cardiac hypertrophy,18539123,1
Liver-specific microRNA miR-122 enhances the replication of hepatitis C virus in nonhepatic cells.,miR-122,hepatitis C,18550664,1
MicroRNA-223 is commonly reproessed in hepatocellular carcinoma and potentiates expression of Stathmin1.,MicroRNA-223,hepatocellular carcinoma,18555017,1
"In leukaemic cell lines PLZF overexpression downmodulated miR-146a and upregulated CXCR4 protein, whereas PLZF knockdown induced the opposite effects.",PLZF//miR-146a//CXCR4,leukemia,18568019,1
MicroRNA 21 promotes glioma invasion by targeting matrix metalloproteinase regulators.,MicroRNA 21,glioma,18591254,1
MicroRNA-126 inhibits invasion in non-small cell lung carcinoma cell lines.,MicroRNA-126,non-small cell lung carcinoma,18602365,1
"However,loss of MEG3 expression occurs only in nonfunctioning pituitary adenomas of a gonadotroph origin.",MEG3,pituitary adenomas,18628527,1
miR-135b: miR-135 family: Regulation of the adenomatous polyposis coli gene.,miR-135b//miR-35,adenomatous polyposis,18632633,1
And the most promising marker for PCa diagnosis was positive PCA3 detection associated with serum PSA levels.,PCA3,PCa,18640109,1
"We also discovered that miR-93, miR-106b, and miR-375, which are known to be frequently overexpressed in prostate cancer patients, cooperatively down-regulate CIC levels to promote cancer progression.",miR-93//miR-106b//miR-375,prostate cancer,18676839,1
Integrin beta 3 expression is regulated by let-7a miRNA in malignant melanoma.,let-7a,melanoma,18679415,1
"miR-122 targets an anti-apoptotic gene, Bcl-w, in human hepatocellular carcinoma cell lines.",miR-122,hepatocellular carcinoma,18692484,1
miR-146a: A functional polymorphism (rs2910164) in the miR-146a gene is associated with the risk for hepatocellular carcinoma.,miR-146a,hepatocellular carcinoma,18711148,1
"Interestingly, miR-26a was also found to be deregulated in primary human Burkitt lymphoma samples, thereby probably being of clinical relevance.",miR-26a,Burkitt lymphoma,18713946,1
MicroRNA-377 is up-regulated and can lead to increased fibronectin production in diabetic nephropathy.,MicroRNA-377,diabetic nephropathy,18716028,1
"miR-217: biomarkers improved the ability to distinguish between healthy tissue, PDAC, and chronic pancreatitis.",miR-217,PDAC//chronic pancreatitis,18719196,1
Common variation in the miR-659 binding-site of GRN is a major risk factor for TDP43-positive frontotemporal dementia.,miR-659,frontotemporal dementia,18723524,1
Up-regulation of micro-RNA-221 (miRNA-221; chr Xp11.3) and caspase-3 accompanies down-regulation of the survivin-1 homolog BIRC1 (NAIP) in glioblastoma multiforme (GBM).,miRNA-221//caspase-3,glioblastoma multiforme,18759060,1
"Megakaryocytic Expression of miRNA 10a, 17-5p, 20a and 126 in Philadelphia Chromosome-Negative Myeloproliferative Neoplasm.",miRNA 10a//miRNA 17-5p//miRNA 20a//miRNA 126,Philadelphia Chromosome-Negative Myeloproliferative Neoplasm,18773208,1
decreased expression in c-Myc induced mouse mammary tumors.,c-Myc,mammary tumors,18777135,1
MicroRNA-27a functions as an oncogene in gastric adenocarcinoma by targeting prohibitin.,MicroRNA-27a,gastric adenocarcinoma,18789835,1
These data suggest that miR-155 may play an important role in TGF-beta-induced EMT and cell migration and invasion by targeting RhoA and indicate that it is a potential therapeutic target for breast cancer intervention.,miR-155,breast cancer,18794355,1
miR-21 plays a pivotal role in gastric cancer pathogenesis and progression.,miR-21,gastric cancer,18794849,1
miR-21/miR-205 expression ratio that has the ability to distinguish between invasive and noninvasive bladder tumors.,miR-21//miR-205,invasive bladder tumors//noninvasive bladder tumors,18799331,1
An NF-kB-sensitive microRNA-146a-mediated inflammatory circuit in Alzheimer's disease and in stressed human brain cells.,microRNA-146a,Alzheimer's disease,18801740,1
These results indicate for the first time that hsa-mir-34b may influence c-Myc expression in Burkitt lymphoma as the more common aberrant control exercised by the immunoglobulin enhancer locus.,hsa-mir-34b,Burkitt lymphoma,18802929,1
tumor suppressor miR-34 inhibits human p53-mutant gastric cancer tumorspheres.,miR-34,gastric cancer,18803879,1
miR-143: Up-regulated expression of microRNA-143 in association with obesity in adipose.,miR-143//microRNA-143,obesity,18809385,1
MicroRNA-128 inhibits glioma cells proliferation by targeting transcription factor E2F3a.,MicroRNA-128,glioma,18810376,1
"Taken together,our study demonstrates that miR-128 can inhibit proliferation of glioma cells through one of its targets,E2F3a.",miR-128,glioma,18810376,1
"We found underexpression of miR-145 (2.0-foldP=0.04), miR-21 (2.4-foldP=0.004), miR-141 (2.6-foldP=0.02), let-7a (3.3-foldP=0.003), miR-150 (3.8-foldP=0.04), miR-15a (4.5-foldP=0.03), miR-16 (5.0-foldP=0.004), and miR-143 (6.4-foldP=0.004) in ACTH-secreting pituitary tumors when compared to normal pituitary tissues.",miR-145//miR-21//miR-141//let-7a//miR-150//miR-15a//miR-16//miR-143 ,pituitary tumors,18840638,1
"We demonstrated by quantitative RT-PCR an active XIST RNA expression in blood lymphocytes from Klinefelter patients,comparable to that observed in control females and over 30,000-fold greater than in control males.",XIST,Klinefelter,18854511,1
A SNP in a let-7 microRNA complementary site in the KRAS 3' untranslated region increases non-small cell lung cancer risk.,let-7//KRAS,non-small cell lung cancer,18922928,1
The miR-15a-miR-16-1 cluster controls prostate cancer by targeting multiple oncogenic activities.,miR-15a//miR-16-1,prostate cancer,18931683,1
High miR-21 expression in breast cancer associated with poor disease-free survival in early stage disease and high TGF-beta1.,miR-21,breast cancer,18932017,1
miR-15a: MicroRNA15a modulates expression of the cell-cycle regulator Cdc25A and affects hepatic cystogenesis.,miR-15a//MicroRNA15a,hepatic cystogenesis,18949056,1
Glioma cells and angiogenic growth factors elevate the level of miR-296 in primary human brain microvascular endothelial cells in culture.,miR-296,Glioma,18977327,1
"In particular, the inhibition of miRNA-221 and -222, which are abnormally expressed in melanoma and favor the induction of the malignant phenotype by downregulating c-KIT receptor and p27Kip, might in the future represent an efficient treatment for translation into the clinical setting.",miRNA-221//miRNA-222,melanoma,18983236,1
miR-34a inhibits migration and invasion by down-regulation of c-Met expression in human hepatocellular carcinoma cells.,miR-34a,hepatocellular carcinoma,19006648,1
"A microarray experiment was carried out to compare glioblastoma with adjacent brain. Among several differentially expressed miRs,we found that miR-128 was strongly down-regulated in glioblastomas.",miR-128,glioblastomas,19010882,1
MicroRNA-21 down-regulates the expression of tumor suppressor PDCD4 in human glioblastoma cell T98G.,MicroRNA-21,glioblastoma,19013014,1
microRNA-122 stimulates translation of hepatitis C virus RNA.,microRNA-122,hepatitis C,19020517,1
MicroRNA-34a inhibits uveal melanoma cell proliferation and migration through downregulation of c-Met.,MicroRNA-34a,melanoma,19029026,1
Blockage of miR-205 activity with an antagomir or via ectopic expression of miR-184 could be novel therapeutic approaches for treating aggressive SCCs.,miR-205,SCCs,19033458,1
MicroRNA-21 contributes to myocardial disease by stimulating MAP kinase signalling in fibroblasts.,MicroRNA-21,myocardial disease,19043405,1
Epigenetic mutations of the imprinted IGF2-H19 domain in Silver-Russell syndrome.,IGF2//H19,Silver-Russell syndrome,19066168,1
Down-regulation of hsa-miR-10a in chronic myeloid leukemia CD34+ cells increases USF2-mediated cell growth.,hsa-miR-10a,chronic myeloid leukemia,19074828,1
"Of those, the miR-205, miR-449, and miR-429 were greatly enriched; in contrast the miR-204, miR-99b, and miR-193b were greatly downregulated in adenocarcinoma tissues.",miR-205//miR-449//miR-429,adenocarcinoma,19077565,1
"Of those, the miR-205, miR-449, and miR-429 were greatly enriched; in contrast the miR-204, miR-99b, and miR-193b were greatly downregulated in adenocarcinoma tissues.",miR-204//miR-99b//miR-193b,adenocarcinoma,19077565,1
"Specific activation of microRNA106b enables the p73 apoptotic response in chronic lymphocytic leukemia by targeting the ubiquitin ligase, Itch for degradation.",microRNA106b,chronic lymphocytic leukemia,19096009,1
The inhibition of the highly expressed miR-221 and miR-222 impairs the growth of prostate carcinoma xenografts in mice.,miR-221//miR-222,prostate carcinoma,19107213,1
"MiR-9 and miR-9*, which decreased early in HD.",MiR-9//miR-9*,HD,19118166,1
Decreased levels of microRNA miR-122 in individuals with hepatitis C responding poorly to interferon therapy.,miR-122,hepatitis C,19122656,1
"MiRNA expression in urothelial carcinomas: Important roles of miR-10a, miR-222,miR-125b, miR-7 and miR-452 for tumor stage and metastasis, and frequent homozygous losses of miR-31.",miR-10a//miR-222//miR-125b//miR-7//miR-452//miR-31,urothelial carcinomas,19127597,1
These data strongly indicate that miR-1 is an arrhythmogenic or proarrhythmic factor that is detrimental to the ischemic heart.,miR-1,arrhythmogenic,19131648,1
Delivery of miR-1 into healthy hearts was also arrhythmogenic.,miR-1,arrhythmogenic,19131648,1
We find that the rs7536540 polymorphism in miR-101-1 is significantly associated with development of liver cirrhosis and hepatocellular carcinoma occurrence.,miR-101-1,liver cirrhosis//hepatocellular carcinoma,19133651,1
MicroRNA-15b regulates cell cycle progression by targeting cyclins in glioma cells.,MicroRNA-15b,glioma,19135980,1
"Taken together,our findings indicate that miR-15b regulates cell cycle progression in glioma cells by targeting cell cycle-related molecules.",miR-15b,glioma,19135980,1
"MicroRNAs 373 and 520c Are Downregulated in Prostate Cancer, Suppress CD44.",MicroRNAs 373//MicroRNA 520c,Prostate Cancer,19158933,1
"The majority of miRNAs exhibiting altered expression in primary human HNSCC tumors (including miR-1, miR-133a, miR-205, and let-7d) show lower expression levels relative to normal adjacent tissue.",miR-1//miR-133a//miR-205//let-7d,HNSCC tumors,19179615,1
"In contrast, hsa-miR-21 is frequently overexpressed in human HNSCC tumors.",hsa-miR-21,HNSCC tumors,19179615,1
"miR-146: Breast cancer metastasis suppressor 1 up-regulates miR-146, which suppresses breast cancer metastasis.",miR-146,breast cancer,19190326,1
